Date,Close
3/3/2015 ,59.26
3/4/2015 ,58.88
3/5/2015 ,59.1
3/6/2015 ,59.72
3/9/2015 ,60.81
3/10/2015 ,60.16
3/11/2015 ,60.16
3/12/2015 ,60.64
3/13/2015 ,60.38
3/16/2015 ,60.54
3/17/2015 ,61.34
3/18/2015 ,61.1
3/19/2015 ,60.33
3/20/2015 ,60.92
3/23/2015 ,60.7
3/24/2015 ,60.56
3/25/2015 ,59.95
3/26/2015 ,60.56
3/27/2015 ,60.51
3/30/2015 ,61.7
3/31/2015 ,61.22
4/1/2015 ,60.61
4/2/2015 ,60.69
4/6/2015 ,61.14
4/7/2015 ,61.11
4/8/2015 ,61.21
4/9/2015 ,62.19
4/10/2015 ,61.44
4/13/2015 ,62.68
4/14/2015 ,62.1
4/15/2015 ,64.46
4/16/2015 ,64.15
4/17/2015 ,63.5
4/20/2015 ,63.77
4/21/2015 ,63.6
4/22/2015 ,64.24
4/23/2015 ,64.26
4/24/2015 ,63.8
4/27/2015 ,63.05
4/28/2015 ,63.85
4/29/2015 ,64.74
4/30/2015 ,65.19
5/1/2015 ,64.41
5/4/2015 ,65.11
5/5/2015 ,64.43
5/6/2015 ,64.99
5/7/2015 ,64.15
5/8/2015 ,64.46
5/11/2015 ,64.81
5/12/2015 ,65.3
5/13/2015 ,64.97
5/14/2015 ,65.1
5/15/2015 ,64.15
5/18/2015 ,64.97
5/19/2015 ,66.38
5/20/2015 ,65.66
5/21/2015 ,65.65
5/22/2015 ,65.52
5/26/2015 ,65.32
5/27/2015 ,65.33
5/28/2015 ,65.2
5/29/2015 ,64.68
6/1/2015 ,64.59
6/2/2015 ,65.19
6/3/2015 ,66.19
6/4/2015 ,65.73
6/5/2015 ,66.94
6/8/2015 ,66.96
6/9/2015 ,67.7
6/10/2015 ,68.67
6/11/2015 ,68.77
6/12/2015 ,68.71
6/15/2015 ,68.66
6/16/2015 ,69.43
6/17/2015 ,68.46
6/18/2015 ,68.77
6/19/2015 ,69.43
6/22/2015 ,70
6/23/2015 ,70.3
6/24/2015 ,69.89
6/25/2015 ,70.53
6/26/2015 ,70.78
6/29/2015 ,69.86
6/30/2015 ,69.58
7/1/2015 ,70.59
7/2/2015 ,69.66
7/6/2015 ,68.86
7/7/2015 ,67.52
7/8/2015 ,66.67
7/9/2015 ,67.36
7/10/2015 ,67.95
7/13/2015 ,68.87
7/14/2015 ,68.81
7/15/2015 ,69.12
7/16/2015 ,69.18
7/17/2015 ,67.94
7/20/2015 ,67.62
7/21/2015 ,67.56
7/22/2015 ,68.1
7/23/2015 ,67.03
7/24/2015 ,65.93
7/27/2015 ,64.61
7/28/2015 ,65.02
7/29/2015 ,67.33
7/30/2015 ,66.76
7/31/2015 ,66.46
8/3/2015 ,66.52
8/4/2015 ,66.79
8/5/2015 ,67.35
8/6/2015 ,66.94
8/7/2015 ,66.36
8/10/2015 ,67.76
8/11/2015 ,66.86
8/12/2015 ,65.26
8/13/2015 ,65.51
8/14/2015 ,66.32
8/17/2015 ,66.18
8/18/2015 ,65.97
8/19/2015 ,64.82
8/20/2015 ,62.88
8/21/2015 ,61.82
8/24/2015 ,58.98
8/25/2015 ,57.09
8/26/2015 ,59.17
8/27/2015 ,61.43
8/28/2015 ,62.38
8/31/2015 ,63.28
9/1/2015 ,60.55
9/2/2015 ,61.66
9/3/2015 ,62.57
9/4/2015 ,62.32
9/8/2015 ,63.89
9/9/2015 ,63.44
9/10/2015 ,63.81
9/11/2015 ,63.3
9/14/2015 ,63.42
9/15/2015 ,64.01
9/16/2015 ,64.54
9/17/2015 ,63.25
9/18/2015 ,61.75
9/21/2015 ,62.85
9/22/2015 ,62.29
9/23/2015 ,62.41
9/24/2015 ,62.73
9/25/2015 ,63.25
9/28/2015 ,62.69
9/29/2015 ,63.63
9/30/2015 ,64.71
10/1/2015 ,63.43
10/2/2015 ,62.79
10/5/2015 ,63.91
10/6/2015 ,64.74
10/7/2015 ,66.07
10/8/2015 ,66.23
10/9/2015 ,65.08
10/12/2015 ,65.41
10/13/2015 ,65
10/14/2015 ,62.81
10/15/2015 ,63.46
10/16/2015 ,63.11
10/19/2015 ,63.16
10/20/2015 ,63.63
10/21/2015 ,62.34
10/22/2015 ,63.13
10/23/2015 ,64.35
10/26/2015 ,63.86
10/27/2015 ,63.15
10/28/2015 ,66.46
10/29/2015 ,67.5
10/30/2015 ,67.18
11/2/2015 ,69.05
11/3/2015 ,69.18
11/4/2015 ,70.24
11/5/2015 ,71.91
11/6/2015 ,72.92
11/9/2015 ,72.27
11/10/2015 ,71.05
11/11/2015 ,70.44
11/12/2015 ,68.96
11/13/2015 ,67.93
11/16/2015 ,68.64
11/17/2015 ,68.49
11/18/2015 ,69.62
11/19/2015 ,68.88
11/20/2015 ,69.1
11/23/2015 ,69.1
11/24/2015 ,68.8
11/25/2015 ,68.8
11/27/2015 ,68.92
11/30/2015 ,68.85
12/1/2015 ,68.99
12/2/2015 ,67.6
12/3/2015 ,67.05
12/4/2015 ,68.38
12/7/2015 ,66.16
12/8/2015 ,64.46
12/9/2015 ,63.74
12/10/2015 ,64.16
12/11/2015 ,62.46
12/14/2015 ,61.2
12/15/2015 ,62.25
12/16/2015 ,61.84
12/17/2015 ,61.18
12/18/2015 ,58.95
12/21/2015 ,59.12
12/22/2015 ,59.72
12/23/2015 ,61.18
12/24/2015 ,61.03
12/28/2015 ,60.43
12/29/2015 ,61.26
12/30/2015 ,60.4
12/31/2015 ,59.79
1/4/2016 ,58.05
1/5/2016 ,57.39
1/6/2016 ,56.69
1/7/2016 ,56.21
1/8/2016 ,55.35
1/11/2016 ,54.96
1/12/2016 ,54.56
1/13/2016 ,50.02
1/14/2016 ,49.57
1/15/2016 ,47.57
1/19/2016 ,46.76
1/20/2016 ,46.01
1/21/2016 ,45.62
1/22/2016 ,47.03
1/25/2016 ,45.14
1/26/2016 ,46.91
1/27/2016 ,46.96
1/28/2016 ,49.33
1/29/2016 ,50.01
2/1/2016 ,49.13
2/2/2016 ,47.95
2/3/2016 ,49.38
2/4/2016 ,50.25
2/5/2016 ,49.45
2/8/2016 ,48.42
2/9/2016 ,48.33
2/10/2016 ,48.3
2/11/2016 ,46.73
2/12/2016 ,48.43
2/16/2016 ,50.19
2/17/2016 ,50.83
2/18/2016 ,50.06
2/19/2016 ,50.61
2/22/2016 ,51.73
2/23/2016 ,49.91
2/24/2016 ,49.44
