Date,Close
3/3/2015 ,63.47
3/4/2015 ,62.89
3/5/2015 ,63.19
3/6/2015 ,62.98
3/9/2015 ,62.56
3/10/2015 ,63.3
3/11/2015 ,62.36
3/12/2015 ,63.19
3/13/2015 ,63.36
3/16/2015 ,64.13
3/17/2015 ,64.1
3/18/2015 ,64.61
3/19/2015 ,65.07
3/20/2015 ,65.98
3/23/2015 ,65.64
3/24/2015 ,65.33
3/25/2015 ,64.72
3/26/2015 ,63.26
3/27/2015 ,63.65
3/30/2015 ,64.44
3/31/2015 ,64.91
4/1/2015 ,65.45
4/2/2015 ,67.85
4/6/2015 ,68.13
4/7/2015 ,67.95
4/8/2015 ,69.8
4/9/2015 ,68
4/10/2015 ,69.16
4/13/2015 ,69.15
4/14/2015 ,68
4/15/2015 ,67.91
4/16/2015 ,67.67
4/17/2015 ,66.45
4/20/2015 ,66.79
4/21/2015 ,67.03
4/22/2015 ,67
4/23/2015 ,67.42
4/24/2015 ,66.99
4/27/2015 ,65.94
4/28/2015 ,65.8
4/29/2015 ,64.81
4/30/2015 ,64.63
5/1/2015 ,65.07
5/4/2015 ,65.29
5/5/2015 ,64.5
5/6/2015 ,63.61
5/7/2015 ,64.71
5/8/2015 ,65.94
5/11/2015 ,66.03
5/12/2015 ,65.33
5/13/2015 ,63.73
5/14/2015 ,63.22
5/15/2015 ,66.53
5/18/2015 ,67.85
5/19/2015 ,69.08
5/20/2015 ,68.21
5/21/2015 ,67.66
5/22/2015 ,68.11
5/26/2015 ,67.33
5/27/2015 ,67.8
5/28/2015 ,68.04
5/29/2015 ,66.95
6/1/2015 ,66.81
6/2/2015 ,68.49
6/3/2015 ,69.68
6/4/2015 ,69.24
6/5/2015 ,69.25
6/8/2015 ,68.97
6/9/2015 ,69.13
6/10/2015 ,68.9
6/11/2015 ,68.92
6/12/2015 ,69.61
6/15/2015 ,68.98
6/16/2015 ,68.86
6/17/2015 ,70.05
6/18/2015 ,70.64
6/19/2015 ,69.85
6/22/2015 ,69.9
6/23/2015 ,70.11
6/24/2015 ,69.9
6/25/2015 ,69.17
6/26/2015 ,69.85
6/29/2015 ,67.09
6/30/2015 ,67.47
7/1/2015 ,67.71
7/2/2015 ,67.44
7/6/2015 ,67.5
7/7/2015 ,68.02
7/8/2015 ,66.18
7/9/2015 ,65.78
7/10/2015 ,66.48
7/13/2015 ,66.71
7/14/2015 ,66.73
7/15/2015 ,72.01
7/16/2015 ,72.8
7/17/2015 ,72.31
7/20/2015 ,72.14
7/21/2015 ,71.67
7/22/2015 ,71.91
7/23/2015 ,71.21
7/24/2015 ,69.94
7/27/2015 ,69.95
7/28/2015 ,68.88
7/29/2015 ,69.19
7/30/2015 ,69.33
7/31/2015 ,69.06
8/3/2015 ,68.21
8/4/2015 ,68.57
8/5/2015 ,68.91
8/6/2015 ,67.45
8/7/2015 ,66.9
8/10/2015 ,67.38
8/11/2015 ,67.53
8/12/2015 ,64.11
8/13/2015 ,62.98
8/14/2015 ,63.36
8/17/2015 ,62.95
8/18/2015 ,62.67
8/19/2015 ,62.39
8/20/2015 ,61.44
8/21/2015 ,59.19
8/24/2015 ,57.12
8/25/2015 ,56.77
8/26/2015 ,58.72
8/27/2015 ,59.05
8/28/2015 ,59
8/31/2015 ,58.61
9/1/2015 ,57.95
9/2/2015 ,58.62
9/3/2015 ,59.28
9/4/2015 ,58.4
9/8/2015 ,59.17
9/9/2015 ,58.85
9/10/2015 ,58.39
9/11/2015 ,58.19
9/14/2015 ,57.86
9/15/2015 ,57.17
9/16/2015 ,57.28
9/17/2015 ,56
9/18/2015 ,54.06
9/21/2015 ,53.91
9/22/2015 ,53.44
9/23/2015 ,52.85
9/24/2015 ,52.08
9/25/2015 ,52.51
9/28/2015 ,50.29
9/29/2015 ,50.39
9/30/2015 ,51.32
10/1/2015 ,51.05
10/2/2015 ,51.84
10/5/2015 ,51.71
10/6/2015 ,51.39
10/7/2015 ,51.13
10/8/2015 ,51.47
10/9/2015 ,51
10/12/2015 ,50.36
10/13/2015 ,50.26
10/14/2015 ,49.77
10/15/2015 ,50.46
10/16/2015 ,50.47
10/19/2015 ,50.71
10/20/2015 ,50.63
10/21/2015 ,50.33
10/22/2015 ,49.88
10/23/2015 ,47.97
10/26/2015 ,48.66
10/27/2015 ,49.05
10/28/2015 ,49.87
10/29/2015 ,49.7
10/30/2015 ,50.98
11/2/2015 ,51.34
11/3/2015 ,51.18
11/4/2015 ,50.44
11/5/2015 ,50.45
11/6/2015 ,48.9
11/9/2015 ,46.24
11/10/2015 ,47.02
11/11/2015 ,40.44
11/12/2015 ,40.82
11/13/2015 ,39.1
11/16/2015 ,38.62
11/17/2015 ,38.03
11/18/2015 ,38.92
11/19/2015 ,38.54
11/20/2015 ,38.6
11/23/2015 ,40.04
11/24/2015 ,39.63
11/25/2015 ,40.38
11/27/2015 ,39.99
11/30/2015 ,39.08
12/1/2015 ,39.33
12/2/2015 ,38.44
12/3/2015 ,38.98
12/4/2015 ,39.32
12/7/2015 ,38.55
12/8/2015 ,38.44
12/9/2015 ,38.15
12/10/2015 ,37.88
12/11/2015 ,36.76
12/14/2015 ,36.37
12/15/2015 ,35.94
12/16/2015 ,35.87
12/17/2015 ,34.5
12/18/2015 ,34.87
12/21/2015 ,35.02
12/22/2015 ,35.43
12/23/2015 ,36.06
12/24/2015 ,35.48
12/28/2015 ,35.5
12/29/2015 ,35.7
12/30/2015 ,35.38
12/31/2015 ,34.98
1/4/2016 ,35.79
1/5/2016 ,36.96
1/6/2016 ,36.15
1/7/2016 ,36.89
1/8/2016 ,35.89
1/11/2016 ,38.82
1/12/2016 ,38.61
1/13/2016 ,38.64
1/14/2016 ,37.64
1/15/2016 ,37.88
1/19/2016 ,38.76
1/20/2016 ,39.73
1/21/2016 ,40.61
1/22/2016 ,41.35
